from,to,mins
3,159,8
3,253,14
3,447,17
3,498,10
3,694,7
3,751,7
3,859,20
3,908,7
14,18,21
14,99,6
14,441,8
14,520,7
14,544,16
14,653,6
14,998,24
15,120,5
15,160,6
15,162,10
15,178,75
15,259,10
15,261,18
15,295,14
15,353,8
15,372,11
15,464,6
15,491,8
15,498,7
15,909,11
15,1090,13
18,39,6
18,99,7
18,429,6
18,488,8
18,527,6
18,621,8
18,650,218
18,753,5
18,797,50
18,845,14
27,99,11
27,160,8
27,259,8
27,295,10
27,346,7
27,1392,13
34,156,10
34,250,30
34,259,9
34,489,5
34,615,28
34,694,13
34,884,38
34,959,25
38,219,23
38,435,79
39,71,24
39,72,5
39,99,5
39,118,8
39,219,108
39,339,66
39,407,315
39,468,71
39,871,102
39,939,17
43,285,17
43,339,8
43,809,5
43,866,31
43,985,13
47,118,10
47,366,116
47,691,32
54,74,12
54,134,21
54,158,47
54,236,23
55,110,38
55,164,8
55,447,13
55,634,6
55,985,82
55,1245,72
59,285,12
59,790,16
59,793,22
59,866,20
59,889,20
63,122,159
63,257,8
63,285,61
63,866,10
71,147,79
71,215,65
71,387,60
71,426,22
71,429,11
71,580,7
71,603,9
71,649,16
71,784,21
71,954,14
71,1245,22
71,1323,10
71,1392,7
72,162,10
72,219,12
72,261,6
72,401,7
72,706,7
72,753,6
72,866,9
72,923,12
72,1323,7
74,77,6
74,79,5
74,122,10
74,141,7
74,158,10
74,159,93
74,193,8
74,215,13
74,250,9
74,333,75
74,372,5
74,453,5
74,489,12
74,498,21
74,763,9
74,884,12
74,985,10
77,97,12
77,122,7
77,159,55
77,162,28
77,215,12
77,220,16
77,259,9
77,346,14
77,429,8
77,603,5
77,649,6
77,1204,8
77,1342,7
79,134,11
79,156,16
79,162,38
79,295,14
79,447,25
80,211,11
80,339,16
80,466,9
80,582,51
80,889,222
80,894,21
80,923,6
80,954,8
89,97,47
89,220,17
89,343,5
89,720,49
97,118,10
97,120,8
97,220,102
97,353,6
97,378,5
97,720,67
97,741,6
97,886,25
97,1204,30
99,120,21
99,122,10
99,141,13
99,147,6
99,160,12
99,183,51
99,259,21
99,275,10
99,295,6
99,333,9
99,413,18
99,582,52
99,603,9
99,649,6
99,1067,31
99,1164,236
106,245,5
106,435,19
106,440,6
110,164,19
110,173,10
110,970,54
117,475,30
117,520,9
117,603,6
117,653,9
117,694,9
117,706,50
117,874,6
117,1414,20
118,339,5
118,447,5
118,468,8
118,954,14
118,1485,7
119,198,35
119,267,33
119,270,61
119,366,434
119,420,37
119,478,10
119,491,10
119,520,5
119,525,13
119,836,10
120,178,8
120,211,18
120,236,14
120,333,20
120,464,5
120,720,6
120,763,13
120,1090,8
122,141,49
122,215,7
122,407,14
122,426,8
122,440,11
122,939,5
131,134,6
131,156,5
131,160,12
131,183,6
131,642,32
131,880,7
131,884,5
134,156,13
134,193,26
134,372,10
141,159,13
141,200,22
141,295,23
141,333,24
141,460,13
141,489,6
141,884,13
141,909,28
147,215,27
147,333,5
147,346,10
147,387,19
147,401,47
147,426,31
147,429,69
147,525,6
147,580,7
147,603,7
147,649,21
147,725,7
147,753,14
147,954,6
147,1245,73
147,1392,87
156,158,11
156,159,9
156,183,21
156,193,18
156,205,22
156,250,8
156,261,20
156,333,9
156,353,6
156,447,23
156,642,16
156,694,11
156,751,7
156,859,30
156,1204,7
156,1342,19
158,236,12
158,322,12
158,447,11
158,656,7
159,162,26
159,210,7
159,259,11
159,333,17
159,428,15
159,489,17
159,763,22
159,884,17
159,1342,25
160,178,11
160,193,19
160,259,21
160,295,6
160,642,12
160,880,25
160,884,67
160,959,26
160,1209,9
160,1392,8
162,210,26
162,259,24
162,261,8
162,372,99
162,464,9
162,491,17
162,751,8
162,1342,6
164,628,8
164,970,14
164,985,24
165,498,43
165,751,7
172,184,33
172,248,7
172,322,9
172,366,70
172,477,8
172,486,13
172,510,32
172,513,50
172,577,19
172,743,67
172,867,94
172,893,7
172,1485,7
173,445,6
173,741,22
173,836,8
173,970,7
178,242,6
178,261,9
178,642,27
178,751,6
178,884,8
181,428,18
181,778,14
181,998,18
181,1260,93
183,220,14
183,250,5
183,413,25
183,582,64
183,615,8
183,642,50
183,1067,66
